Date,Source,Title,URL,Location,Stance Score,Confidence,Risk Score,Stakeholders,Themes,Mobilization,Narrative Frame,Key Quotes
2025-12-01,The Augusta Chronicle,Three data centers? Developer eyeing Columbia County land near I-20,https://www.augustachronicle.com/story/business/2025/12/16/developers-propose-data-centers-for-three-columbia-county-technology-parks-georgia-real-estate/87773731007/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-17,WRDW,2 more data centers now being proposed in Columbia County,https://www.wrdw.com/2025/12/17/georgia-data-center-power-plan-faces-opposition-before-friday-vote/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-02,AJC.com,Athens film studio wants to reboot as a data center,https://www.ajc.com/business/2025/12/athens-film-studio-wants-to-reboot-as-a-data-center/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-01,WSB-TV,$100 million Amazon water facility for Covington data center moving forward,https://www.wsbtv.com/news/local/newton-county/100-million-amazon-water-facility-covington-data-center-moving-forward/AHKDDWW5MBCHNFGRMCVVKUW55A/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-17,WALB,Data center plans stir up controversy on both sides of the river,https://www.walb.com/video/2025/12/17/data-center-plans-stir-up-controversy-both-sides-river/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-02,AP News,Georgia Power says it needs a huge increase in power capacity to meet data center demand,https://apnews.com/article/georgia-power-data-centers-d15f7793c6b79444908ca8a7b68f7ef1,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-01,WIRED,The Data Center Resistance Has Arrived,https://www.wired.com/story/the-data-center-resistance-has-arrived/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-03,Utility Dive,Georgia Power’s large load pipeline shrinks by 6 GW,https://www.utilitydive.com/news/georgia-power-large-load-data-centers/806300/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-03,Financial Times,Data centre ‘monstrosities’ face community opposition in latest US hotspot,https://www.ft.com/content/7f3950ad-9e9c-4c8d-bd37-755de1ca4b59,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-17,Grice Connect,Tentative agreement with Georgia Power could mean new capacity for data centers,https://www.griceconnect.com/local-news/tentative-agreement-with-georgia-power-could-mean-new-capacity-for-data-centers-11612767,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-17,The Hill,Cash-strapped Americans shouldn’t fund Big Tech’s data centers,https://thehill.com/opinion/technology/5651351-utility-bills-ai-growth/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-01,The Current,Port Wentworth panel advises against data centers,https://thecurrentga.org/2025/12/16/port-wentworth-panel-advises-against-data-centers/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-17,Savannah Morning News,Port Wentworth Planning Commission votes 'no' on data center ordinance,https://www.savannahnow.com/story/news/local/2025/12/17/port-wentworth-looking-to-add-data-centers-to-ordinances/87718700007/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-17,Flagpole,Athens-Clarke County Planners Propose Regulations for Data Centers,https://flagpole.com/news/city-dope/2025/12/17/athens-clarke-county-planners-propose-regulations-for-data-centers/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-05,AccessWdun,"Data center developers remove special use application for data center, approved for light industrial",https://accesswdun.com/news/data-center-developers-remove-special-use-application-for-data-center-approved-for-light-industrial,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-01,Southern Environmental Law Center,New report exposes inflated load growth projections from data centers in the Southeast,https://www.selc.org/press-release/new-report-exposes-inflated-load-growth-projections-from-data-centers-in-the-southeast/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-04,WSB-TV,Plans for $1.2B data center abandoned in Hall County,https://www.wsbtv.com/news/local/hall-county/plans-12b-data-center-abandoned-hall-county/3T36FITZWRBMXD5USUERFBILRY/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-01,AJC.com,DeKalb extends data center moratorium 6 months,https://www.ajc.com/news/2025/12/dekalb-extends-data-center-moratorium-6-months/,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-02,Canary Media,Georgia hashes out plan to let data centers build…,https://www.canarymedia.com/articles/clean-energy/georgia-data-centers-build-clean-energy,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-01,11Alive.com,Commissioners vote to extend moratorium on data centers to June 2026,https://www.11alive.com/article/news/local/dekalb-county-commissions-vote-on-data-center-regulations/85-0236aca5-709e-4dac-9f67-91f3cdceb705,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-12-03,WJCL,Georgia Power seeks $15 billion expansion to boost capacity as data centers surge,https://www.wjcl.com/article/georgia-power-data-centers/69718761,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
2025-10-22,Georgia Public Broadcasting,A ‘wave’ of data center ordinances sweep through GA counties. How strict are they?,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,Georgia,0.1,0.5,45,Unknown,"economic, infrastructure",None,economic_injustice,None
